City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,Puerto Ayora,-0.74,-90.35,77.0,65,40,19.46,EC,2020-07-06 21:25:46
62,Castro,-24.79,-50.01,61.92,89,53,5.48,BR,2020-07-06 21:25:46
63,Lorengau,-2.02,147.27,82.81,75,98,10.85,PG,2020-07-06 21:25:46
64,Namibe,-15.2,12.15,68.59,86,0,7.47,AO,2020-07-06 21:25:46
65,Busselton,-33.65,115.33,55.99,65,52,14.09,AU,2020-07-06 21:25:46
66,Sao Joao Da Barra,-21.64,-41.05,75.2,73,0,6.93,BR,2020-07-06 21:25:47
67,Guerrero Negro,27.98,-114.06,84.45,34,47,16.82,MX,2020-07-06 21:25:47
68,Topeka,39.05,-95.68,91.4,49,20,5.82,US,2020-07-06 21:25:47
69,Ixtapa,20.7,-105.2,90.0,79,40,14.99,MX,2020-07-06 21:25:47
70,Songkhla,6.83,100.67,73.4,100,20,3.09,TH,2020-07-06 21:25:47
71,Kamuli,0.95,33.12,67.17,74,99,1.36,UG,2020-07-06 21:25:47
72,Saskylakh,71.92,114.08,44.58,80,100,11.03,RU,2020-07-06 21:25:48
73,Nikolskoye,59.7,30.79,62.6,72,76,4.47,RU,2020-07-06 21:25:48
74,Smithers,54.78,-127.17,60.8,67,75,9.17,CA,2020-07-06 21:23:35
75,Klaksvik,62.23,-6.59,44.6,87,92,18.34,FO,2020-07-06 21:25:48
76,Los Arabos,22.73,-80.72,88.45,64,71,11.16,CU,2020-07-06 21:25:48
77,Kapaa,22.08,-159.32,84.0,69,40,10.29,US,2020-07-06 21:24:23
78,Yakeshi,49.28,120.73,50.05,80,0,3.06,CN,2020-07-06 21:25:49
79,Bluff,-46.6,168.33,46.99,74,97,14.05,NZ,2020-07-06 21:25:49
80,Jamestown,42.1,-79.24,84.99,51,1,10.29,US,2020-07-06 21:25:49
81,Namtsy,62.72,129.67,50.0,76,99,4.47,RU,2020-07-06 21:25:49
82,Hasaki,35.73,140.83,81.0,83,75,14.99,JP,2020-07-06 21:25:49
83,Menongue,-14.66,17.69,49.68,46,0,3.15,AO,2020-07-06 21:25:49
84,Pemangkat,1.17,108.97,77.04,90,99,6.38,ID,2020-07-06 21:25:49
85,Luau,-10.71,22.22,57.06,36,0,5.55,AO,2020-07-06 21:25:50
86,Cape Town,-33.93,18.42,62.01,93,75,9.17,ZA,2020-07-06 21:23:45
87,Ribeira Grande,38.52,-28.7,73.4,64,20,11.41,PT,2020-07-06 21:25:50
88,Durant,33.99,-96.37,82.99,88,90,8.05,US,2020-07-06 21:21:01
89,Sangar,63.92,127.47,54.7,54,0,2.53,RU,2020-07-06 21:25:50
90,Marovoay,-16.1,46.63,71.6,64,20,5.82,MG,2020-07-06 21:25:51
91,Santa Rosa,14.31,121.11,82.4,83,40,4.7,PH,2020-07-06 21:25:51
92,Tasiilaq,65.61,-37.64,41.0,80,31,9.17,GL,2020-07-06 21:25:51
93,Hithadhoo,-0.6,73.08,83.55,79,57,20.09,MV,2020-07-06 21:25:51
94,Caravelas,-17.71,-39.25,71.44,79,0,4.38,BR,2020-07-06 21:25:51
95,Tessalit,20.2,1.01,94.91,10,0,11.3,ML,2020-07-06 21:25:51
96,Almaznyy,48.04,40.05,73.4,35,0,4.47,RU,2020-07-06 21:25:51
97,Arraial Do Cabo,-22.97,-42.03,75.2,88,0,3.36,BR,2020-07-06 21:25:52
98,Leningradskiy,69.38,178.42,46.74,78,96,5.48,RU,2020-07-06 21:25:52
99,Carnarvon,-24.87,113.63,57.2,71,0,9.17,AU,2020-07-06 21:25:52
100,Vila Velha,-20.33,-40.29,75.0,83,0,10.29,BR,2020-07-06 21:25:45
101,Isangel,-19.55,169.27,69.8,83,90,3.36,VU,2020-07-06 21:25:52
102,Kigoma,-4.88,29.63,73.4,73,40,4.05,TZ,2020-07-06 21:25:52
103,Hoi An,15.88,108.33,80.6,83,20,2.24,VN,2020-07-06 21:25:53
104,Vangaindrano,-23.35,47.6,64.76,88,10,2.66,MG,2020-07-06 21:25:53
105,Whitehorse,60.72,-135.05,64.0,59,75,8.05,CA,2020-07-06 21:22:39
106,Belize,17.25,-88.75,89.01,54,100,5.01,BZ,2020-07-06 21:25:06
107,Vysokogornyy,50.12,139.15,59.16,93,77,4.07,RU,2020-07-06 21:25:53
108,Gardendale,33.66,-86.81,82.4,78,40,6.93,US,2020-07-06 21:25:53
109,Yulara,-25.24,130.99,37.4,69,0,6.93,AU,2020-07-06 21:25:54
110,Vestmannaeyjar,63.44,-20.27,52.05,85,0,14.58,IS,2020-07-06 21:25:54
111,Havoysund,71.0,24.66,46.4,87,75,14.99,NO,2020-07-06 21:25:54
112,Georgiyevka,43.04,74.71,62.6,51,0,11.18,KZ,2020-07-06 21:25:54
113,Mezen,65.85,44.24,59.34,83,41,9.31,RU,2020-07-06 21:25:54
114,East London,-33.02,27.91,72.46,22,0,9.71,ZA,2020-07-06 21:25:54
115,Blagoyevo,63.37,47.92,63.93,92,83,4.83,RU,2020-07-06 21:25:54
116,Bredasdorp,-34.53,20.04,59.0,72,0,8.05,ZA,2020-07-06 21:25:55
117,Butaritari,3.07,172.79,84.0,73,78,14.38,KI,2020-07-06 21:25:55
118,Yatou,37.15,122.38,68.29,93,4,5.17,CN,2020-07-06 21:25:55
119,Cairns,-16.92,145.77,69.8,77,40,10.29,AU,2020-07-06 21:25:17
120,Iqaluit,63.75,-68.51,51.8,62,40,5.82,CA,2020-07-06 21:25:55
121,Datong,40.09,113.29,69.13,46,1,4.92,CN,2020-07-06 21:25:55
122,Aksarayskiy,46.79,48.01,75.2,50,0,4.47,RU,2020-07-06 21:25:56
123,Kibre Mengist,5.88,38.98,55.17,93,52,1.88,ET,2020-07-06 21:25:56
124,Saldanha,-33.01,17.94,57.2,87,45,3.36,ZA,2020-07-06 21:25:56
125,Williston,48.15,-103.62,84.0,38,16,1.99,US,2020-07-06 21:25:56
126,Thompson,55.74,-97.86,64.4,88,75,10.29,CA,2020-07-06 21:25:56
127,Palestine,31.92,35.2,78.8,78,20,6.93,PS,2020-07-06 21:25:56
128,Dunedin,-45.87,170.5,45.0,88,100,8.01,NZ,2020-07-06 21:25:56
129,Araguacu,-12.93,-49.83,80.35,37,0,2.77,BR,2020-07-06 21:25:57
130,Richards Bay,-28.78,32.04,68.76,41,0,16.26,ZA,2020-07-06 21:25:57
131,Dwarka,22.24,68.97,80.65,89,100,33.02,IN,2020-07-06 21:25:57
132,Souillac,-20.52,57.52,73.4,94,75,6.93,MU,2020-07-06 21:25:57
133,Tecoanapa,16.52,-98.75,89.35,56,88,11.88,MX,2020-07-06 21:25:57
134,Broken Hill,-31.95,141.43,37.4,86,90,2.24,AU,2020-07-06 21:25:57
135,San Jose,37.34,-121.89,82.0,31,20,13.87,US,2020-07-06 21:21:03
136,Marsaxlokk,35.84,14.54,75.2,78,0,11.41,MT,2020-07-06 21:25:58
137,Chokurdakh,70.63,147.92,40.91,85,94,9.82,RU,2020-07-06 21:25:58
138,Santa Cruz De La Palma,28.68,-17.76,71.6,88,90,14.99,ES,2020-07-06 21:25:58
139,Kintampo,8.06,-1.73,74.52,86,82,5.39,GH,2020-07-06 21:25:58
140,Pedernales,18.04,-71.74,89.6,59,40,13.87,DO,2020-07-06 21:25:58
141,Nemuro,43.32,145.57,59.54,98,100,6.69,JP,2020-07-06 21:25:59
142,Port Alfred,-33.59,26.89,66.0,47,0,5.01,ZA,2020-07-06 21:25:59
