,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Jiwani,PK,87.04,overcast clouds,25.05,61.74,Al Mumtaz Transport Jiwani
257,Eyl,SO,80.83,overcast clouds,7.98,49.82,Amiin Hotel
259,North Myrtle Beach,US,86.0,broken clouds,33.82,-78.68,Avista Resort
261,Culiacan,MX,87.01,broken clouds,24.8,-107.39,Hotel Lucerna Culiacan
269,Owando,CG,82.15,overcast clouds,-0.48,15.9,Exaunel Hotel Owando
270,San Andres,CO,80.6,light intensity drizzle,12.58,-81.7,Hotel Arena Blanca
272,Sidi Ali,DZ,77.2,clear sky,36.1,0.42,
273,Nouadhibou,MR,87.8,clear sky,20.93,-17.03,El Medina
274,Jieshi,CN,83.53,overcast clouds,22.81,115.83,Yuehai Hotel
281,Birao,CF,75.87,overcast clouds,10.28,22.79,
282,Rundu,,75.2,clear sky,-17.93,19.77,Millennia Estate
284,Pindi Gheb,PK,89.6,haze,33.24,72.27,Waqas Ali Home
285,Yarensk,RU,82.92,clear sky,62.17,49.09,Outskirts hotel
289,Sola,VU,78.8,overcast clouds,-13.88,167.55,Leumerus Bungalows
290,Boa Vista,BR,89.6,broken clouds,2.82,-60.67,Aipana Plaza Hotel
295,Manta,EC,76.24,overcast clouds,-0.95,-80.73,Balandra Hotel
299,Isernia,IT,87.01,broken clouds,41.6,14.24,Hotel Europa Depandance
303,Morehead,US,87.8,clear sky,37.27,-87.18,CCI Express Inn
307,Cruz Grande,MX,84.2,broken clouds,16.73,-99.13,Hotel Camila
310,Paredon,MX,87.22,overcast clouds,16.03,-93.87,Hotel Principal Paredon
311,Trairi,BR,85.82,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
312,Tual,ID,79.16,overcast clouds,-5.67,132.75,Grand Vilia Hotel
314,Gushi,CN,83.84,overcast clouds,34.64,109.58,
316,Takoradi,GH,78.28,overcast clouds,4.88,-1.76,Raybow International Hotel
317,Mae Hong Son,TH,76.48,overcast clouds,19.3,97.97,Baiyoke Chalet Hotel
324,Forrest City,US,86.0,few clouds,35.01,-90.79,Hampton Inn Forrest City
328,Vikulovo,RU,75.29,broken clouds,56.82,70.61,"Ooo ""Sistema Stroy"""
332,Antibes,FR,81.0,clear sky,43.56,7.13,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
335,Katsuura,JP,75.0,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
337,Kapoeta,SS,81.34,scattered clouds,4.77,33.59,Eastgate Hotel
339,Saint-Georges,GD,84.2,scattered clouds,12.06,-61.75,Radisson Grenada Beach Resort
340,Harper,LR,78.06,overcast clouds,4.38,-7.72,Screensaver
344,Luganville,VU,77.0,overcast clouds,-15.53,167.17,The Espiritu Hotel
347,Palauig,PH,82.81,broken clouds,15.44,119.9,Myhousebythesea
350,Uarini,BR,87.8,scattered clouds,-2.99,-65.11,
352,Nouakchott,MR,86.0,dust,18.09,-15.98,Hôtel Iman
355,Thinadhoo,MV,85.01,overcast clouds,0.53,72.93,
356,Sabang,ID,83.48,overcast clouds,5.89,95.32,Hotel Citra
363,Ukiah,US,75.0,clear sky,39.15,-123.21,Hampton Inn Ukiah
369,Makakilo City,US,77.0,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
371,Luwuk,ID,76.57,broken clouds,-0.95,122.79,Hotel Santika Luwuk
373,Rio Verde De Mato Grosso,BR,80.19,broken clouds,-18.92,-54.84,Hotel Valência
376,Marawi,PH,75.0,broken clouds,8.0,124.29,Derogongan Residence
378,Eydhafushi,MV,84.15,overcast clouds,5.1,73.07,Soneva Fushi
379,Hambantota,LK,78.8,few clouds,6.12,81.12,Bungalow 63
380,Gat,IL,84.0,clear sky,31.61,34.76,רגע בנחת
383,The Valley,AI,89.6,haze,18.22,-63.06,CeBlue Villas & Beach Resort
390,Sile,TR,75.99,clear sky,41.18,29.61,Seref Hotel
399,Tupaciguara,BR,77.0,few clouds,-18.59,-48.7,Hotel Santa Terezinha
402,Axim,GH,78.01,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
405,Kutum,SD,84.49,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
407,Dakar,SN,86.0,scattered clouds,14.69,-17.44,Novotel Dakar
409,Saint George,US,89.01,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
418,Sosnovka,RU,75.6,clear sky,56.26,51.28,
421,Lincoln,US,80.01,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
427,Taitung,TW,82.89,overcast clouds,22.76,121.14,Taitung Bali Suites Hotel
428,Nizhniy Baskunchak,RU,84.24,overcast clouds,48.22,46.83,Arman hotel
430,Lusambo,CD,83.77,clear sky,-4.97,23.45,
431,Bambanglipuro,ID,75.16,scattered clouds,-7.95,110.28,Puri Brata
435,San Patricio,MX,87.8,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
436,Basco,PH,84.15,overcast clouds,20.45,121.97,Nathaniel's Lodge
440,Ishigaki,JP,84.58,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
442,Ponta Do Sol,PT,75.2,few clouds,32.67,-17.1,Hotel do Campo
443,Jurado,CO,85.33,overcast clouds,7.11,-77.76,
447,Shubarkuduk,KZ,81.95,clear sky,49.14,56.49,
453,Tubuala,PA,84.2,scattered clouds,9.52,-79.03,
455,Ebersberg,DE,82.99,broken clouds,48.08,11.97,Hotel-Gasthof Huber
462,Silleda,ES,86.0,few clouds,42.7,-8.25,Hotel Ramos
466,Belmonte,BR,78.8,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
467,San Jose De Rio Tinto,HN,86.5,overcast clouds,14.93,-85.7,PARQUE ECOTURISTICO QUILIZ
468,Pahrump,US,87.01,clear sky,36.21,-115.98,Best Western Pahrump Oasis
471,Yulin,CN,79.39,overcast clouds,22.63,110.15,罗弟天海大厦
