,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Rain (inches),Snow (inches)
310,Paredon,16.03,-93.87,87.22,68,97,5.64,overcast clouds,MX,0.0,0
311,Trairi,-3.28,-39.27,85.82,60,0,13.76,clear sky,BR,0.0,0
312,Tual,-5.67,132.75,79.16,85,92,20.33,overcast clouds,ID,0.0,0
313,Lethem,3.38,-59.8,86.67,62,64,3.67,light rain,GY,0.73,0
314,Gushi,34.64,109.58,83.84,53,99,5.48,overcast clouds,CN,0.0,0
315,Albina,5.5,-54.05,81.93,88,88,2.42,moderate rain,SR,2.4,0
316,Takoradi,4.88,-1.76,78.28,82,89,10.87,overcast clouds,GH,0.0,0
317,Mae Hong Son,19.3,97.97,76.48,80,100,2.04,overcast clouds,TH,0.0,0
318,Northam,51.03,-4.22,59.0,98,98,4.0,overcast clouds,GB,0.0,0
319,Najran,17.49,44.13,98.6,13,40,10.29,scattered clouds,SA,0.0,0
320,Pomerode,-26.74,-49.18,68.0,99,41,3.24,scattered clouds,BR,0.0,0
321,Asau,46.43,26.4,72.0,72,75,2.04,light rain,RO,0.14,0
322,Daru,-9.08,143.21,78.04,89,89,16.93,light rain,PG,0.4,0
323,Kitimat,54.05,-128.65,57.2,76,75,5.82,broken clouds,CA,0.0,0
324,Forrest City,35.01,-90.79,86.0,74,20,10.29,few clouds,US,0.0,0
325,Antofagasta,-23.65,-70.4,59.0,72,20,5.82,few clouds,CL,0.0,0
326,Ola,59.58,151.28,51.51,95,100,1.14,light rain,RU,0.32,0
327,Bella Union,-30.28,-57.6,56.08,63,0,6.17,clear sky,UY,0.0,0
328,Vikulovo,56.82,70.61,75.29,74,62,8.77,broken clouds,RU,0.0,0
329,Puerto Baquerizo Moreno,-0.9,-89.6,68.4,88,100,11.5,overcast clouds,EC,0.0,0
330,Grand Gaube,-20.01,57.66,71.01,64,43,5.99,scattered clouds,MU,0.0,0
331,Thornhill,55.23,-3.77,62.01,59,20,17.22,few clouds,GB,0.0,0
332,Antibes,43.56,7.13,81.0,57,0,5.82,clear sky,FR,0.0,0
333,Camacha,33.08,-16.33,73.4,69,20,14.99,few clouds,PT,0.0,0
334,Husavik,66.04,-17.34,51.8,66,75,31.09,broken clouds,IS,0.0,0
335,Katsuura,35.13,140.3,75.0,96,100,4.0,overcast clouds,JP,0.0,0
336,Ust-Ilimsk,58.0,102.66,59.11,67,100,3.89,overcast clouds,RU,0.0,0
337,Kapoeta,4.77,33.59,81.34,51,44,4.74,scattered clouds,SS,0.0,0
338,Qasigiannguit,68.82,-51.19,53.6,71,75,12.75,light rain,GL,0.0,0
339,Saint-Georges,12.06,-61.75,84.2,83,40,11.41,scattered clouds,GD,0.0,0
340,Harper,4.38,-7.72,78.06,80,93,11.63,overcast clouds,LR,0.0,0
341,Airai,-8.93,125.41,55.2,100,97,3.76,overcast clouds,TL,0.0,0
342,Teguldet,57.31,88.17,56.08,77,99,4.88,overcast clouds,RU,0.0,0
343,Oktyabrskoye,43.06,44.74,77.0,73,100,4.47,moderate rain,RU,2.24,0
344,Luganville,-15.53,167.17,77.0,83,90,4.7,overcast clouds,VU,0.0,0
345,Saint-Augustin,51.23,-58.65,57.74,91,100,14.27,overcast clouds,CA,0.0,0
346,Saint-Esteve,42.71,2.84,80.6,51,42,5.82,light rain,FR,0.53,0
347,Palauig,15.44,119.9,82.81,76,62,4.59,broken clouds,PH,0.0,0
348,Mayor Pablo Lagerenza,-19.93,-60.77,67.3,52,85,3.29,overcast clouds,PY,0.0,0
349,Kalabo,-14.97,22.68,68.11,27,0,2.89,clear sky,ZM,0.0,0
350,Uarini,-2.99,-65.11,87.8,74,40,9.17,scattered clouds,BR,0.0,0
351,Pacific Grove,36.62,-121.92,57.2,82,90,4.41,overcast clouds,US,0.0,0
352,Nouakchott,18.09,-15.98,86.0,70,37,16.11,dust,MR,0.0,0
353,Svetlyy,54.67,20.13,64.4,63,77,8.95,light rain,RU,0.55,0
354,Khanpur,28.65,70.66,102.85,28,6,16.53,clear sky,PK,0.0,0
355,Thinadhoo,0.53,72.93,85.01,67,100,3.56,overcast clouds,MV,0.0,0
356,Sabang,5.89,95.32,83.48,71,100,2.48,overcast clouds,ID,0.0,0
357,New Amsterdam,6.25,-57.52,83.89,73,96,5.95,light rain,GY,0.39,0
358,Helena,46.59,-112.04,63.0,51,1,3.36,clear sky,US,0.0,0
359,Richards Bay,-28.78,32.04,72.54,54,0,15.01,clear sky,ZA,0.0,0
360,Mnogovershinnyy,53.94,139.92,47.68,100,100,4.14,overcast clouds,RU,0.0,0
361,Tessalit,20.2,1.01,98.51,19,65,18.88,broken clouds,ML,0.0,0
362,Taltal,-25.4,-70.48,69.76,34,0,4.7,clear sky,CL,0.0,0
363,Ukiah,39.15,-123.21,75.0,43,1,3.36,clear sky,US,0.0,0
364,Loikaw,19.67,97.21,70.07,88,96,3.13,overcast clouds,MM,0.0,0
365,Houma,29.6,-90.72,93.0,66,40,8.05,scattered clouds,US,0.0,0
366,Hualmay,-11.1,-77.61,67.14,65,47,11.88,scattered clouds,PE,0.0,0
367,Fortuna,40.6,-124.16,57.99,100,90,5.82,overcast clouds,US,0.0,0
368,Amapa,1.0,-52.0,83.68,74,76,4.5,light rain,BR,0.69,0
369,Makakilo City,21.35,-158.09,77.0,78,20,3.36,few clouds,US,0.0,0
370,Chegem,43.28,43.13,73.4,64,75,6.71,broken clouds,RU,0.0,0
371,Luwuk,-0.95,122.79,76.57,80,71,4.88,broken clouds,ID,0.0,0
372,Diffa,13.32,12.61,99.95,22,88,2.98,overcast clouds,NE,0.0,0
373,Rio Verde De Mato Grosso,-18.92,-54.84,80.19,48,65,5.14,broken clouds,BR,0.0,0
374,Borogontsy,62.67,131.17,59.07,73,59,8.16,broken clouds,RU,0.0,0
375,Tuatapere,-46.13,167.68,43.99,82,88,7.74,overcast clouds,NZ,0.0,0
376,Marawi,8.0,124.29,75.0,89,68,5.99,broken clouds,PH,0.0,0
377,Puerto El Triunfo,13.28,-88.55,91.4,66,1,2.24,clear sky,SV,0.0,0
378,Eydhafushi,5.1,73.07,84.15,74,99,9.06,overcast clouds,MV,0.0,0
379,Hambantota,6.12,81.12,78.8,100,20,2.24,few clouds,LK,0.0,0
380,Gat,31.61,34.76,84.0,63,0,1.01,clear sky,IL,0.0,0
381,Looc,12.26,121.99,82.15,75,90,4.18,light rain,PH,0.59,0
382,Caronport,50.45,-105.82,59.0,87,90,19.46,overcast clouds,CA,0.0,0
383,The Valley,18.22,-63.06,89.6,62,75,17.22,haze,AI,0.0,0
384,Bengkulu,-3.8,102.27,76.3,89,100,9.26,light rain,ID,0.29,0
385,Tsogni,-2.79,10.1,74.05,80,12,7.58,few clouds,GA,0.0,0
386,Juneau,58.3,-134.42,55.0,93,90,11.41,light rain,US,0.25,0
387,Asyut,27.18,31.18,98.6,23,0,16.11,clear sky,EG,0.0,0
388,Bouca,6.51,18.27,72.9,95,98,2.37,light rain,CF,0.12,0
389,Phonhong,18.5,102.42,78.62,91,100,1.12,light rain,LA,0.13,0
390,Sile,41.18,29.61,75.99,53,1,8.99,clear sky,TR,0.0,0
391,Aksarka,66.56,67.8,57.49,69,0,7.99,clear sky,RU,0.0,0
392,Marrakesh,31.63,-8.01,98.6,17,0,9.17,clear sky,MA,0.0,0
393,Novo Aripuana,-5.12,-60.38,93.76,39,20,5.06,few clouds,BR,0.0,0
394,Viedma,-40.81,-63.0,52.02,45,100,27.18,overcast clouds,AR,0.0,0
395,Lagoa,39.05,-27.98,68.7,72,20,2.64,few clouds,PT,0.0,0
396,Moussoro,13.64,16.49,90.34,44,100,21.88,overcast clouds,TD,0.0,0
397,Port Blair,11.67,92.75,81.61,81,100,11.48,light rain,IN,0.6,0
398,Narsaq,60.92,-46.05,48.2,87,75,3.36,shower rain,GL,0.0,0
399,Tupaciguara,-18.59,-48.7,77.0,38,20,6.93,few clouds,BR,0.0,0
400,Kangaatsiaq,68.31,-53.46,44.42,96,100,12.46,moderate rain,GL,1.78,0
401,Luwingu,-10.26,29.93,69.51,53,16,8.1,few clouds,ZM,0.0,0
402,Axim,4.87,-2.24,78.01,83,93,10.33,overcast clouds,GH,0.0,0
403,Oltu,40.55,42.0,64.71,69,13,5.79,few clouds,TR,0.0,0
404,Kruisfontein,-34.0,24.73,61.29,55,45,15.14,scattered clouds,ZA,0.0,0
405,Kutum,14.2,24.67,84.49,35,74,13.42,broken clouds,SD,0.0,0
406,Nanhai,30.13,111.78,81.0,86,99,3.13,light rain,CN,0.33,0
407,Dakar,14.69,-17.44,86.0,66,40,16.11,scattered clouds,SN,0.0,0
408,Kibakwe,-6.72,36.37,66.11,83,36,5.79,light rain,TZ,0.15,0
409,Saint George,37.1,-113.58,89.01,8,1,3.36,clear sky,US,0.0,0
410,Codrington,-38.27,141.97,43.72,79,100,8.46,overcast clouds,AU,0.0,0
411,Coihaique,-45.58,-72.07,35.6,93,90,2.24,overcast clouds,CL,0.0,0
412,Awjilah,29.11,21.29,95.11,20,0,7.2,clear sky,LY,0.0,0
413,Ulagan,50.63,87.96,51.71,77,91,1.12,overcast clouds,RU,0.0,0
414,Chimbote,-9.09,-78.58,67.69,66,75,12.37,broken clouds,PE,0.0,0
415,Leeton,-34.57,146.4,50.0,93,40,6.93,scattered clouds,AU,0.0,0
416,La Romana,18.43,-68.97,91.4,52,40,13.87,scattered clouds,DO,0.0,0
417,Hohhot,40.81,111.65,69.8,77,32,2.24,scattered clouds,CN,0.0,0
418,Sosnovka,56.26,51.28,75.6,85,0,5.53,clear sky,RU,0.0,0
419,Puerto Madryn,-42.77,-65.04,41.58,84,100,31.54,moderate rain,AR,3.48,0
420,Novikovo,51.15,37.89,64.9,74,1,8.08,clear sky,RU,0.0,0
421,Lincoln,40.8,-96.67,80.01,61,1,12.75,clear sky,US,0.0,0
422,Berdigestyakh,62.1,126.7,64.65,59,100,9.31,overcast clouds,RU,0.0,0
423,Imeni Babushkina,59.76,43.13,59.86,88,97,6.96,overcast clouds,RU,0.0,0
424,Paamiut,61.99,-49.67,45.68,87,93,28.92,overcast clouds,GL,0.0,0
425,Panguipulli,-39.63,-72.33,55.4,100,90,23.04,heavy intensity rain,CL,0.0,0
426,Waddan,29.16,16.14,94.73,21,0,12.53,clear sky,LY,0.0,0
427,Taitung,22.76,121.14,82.89,62,100,0.6,overcast clouds,TW,0.0,0
428,Nizhniy Baskunchak,48.22,46.83,84.24,46,100,13.13,overcast clouds,RU,0.0,0
429,Salym,60.06,71.48,64.9,96,91,8.28,overcast clouds,RU,0.0,0
430,Lusambo,-4.97,23.45,83.77,29,2,1.68,clear sky,CD,0.0,0
431,Bambanglipuro,-7.95,110.28,75.16,85,27,7.16,scattered clouds,ID,0.0,0
432,Florianopolis,-27.61,-48.5,69.01,55,34,8.05,scattered clouds,BR,0.0,0
433,Sobolevo,54.43,31.9,58.37,83,1,6.02,light rain,RU,0.12,0
434,Luhyny,51.08,28.4,64.47,70,6,2.86,clear sky,UA,0.0,0
435,San Patricio,19.22,-104.7,87.8,74,40,11.41,scattered clouds,MX,0.0,0
436,Basco,20.45,121.97,84.15,80,100,8.32,overcast clouds,PH,0.0,0
437,Nome,64.5,-165.41,52.0,87,75,6.93,broken clouds,US,0.0,0
438,Grand-Santi,4.25,-54.38,88.57,62,98,1.77,light rain,GF,0.44,0
439,Redcliffe,-27.23,153.1,57.0,100,75,5.82,broken clouds,AU,0.0,0
440,Ishigaki,24.34,124.16,84.58,82,100,23.17,overcast clouds,JP,0.0,0
441,Baculin,7.45,126.58,79.12,77,83,4.97,light rain,PH,0.42,0
442,Ponta Do Sol,32.67,-17.1,75.2,69,20,6.93,few clouds,PT,0.0,0
443,Jurado,7.11,-77.76,85.33,64,88,5.61,overcast clouds,CO,0.0,0
444,Mizdah,31.45,12.98,92.84,16,0,12.64,clear sky,LY,0.0,0
445,Akyab,20.15,92.9,82.45,83,99,12.1,light rain,MM,0.26,0
446,Parnarama,-5.68,-43.09,93.54,34,81,5.26,broken clouds,BR,0.0,0
447,Shubarkuduk,49.14,56.49,81.95,34,1,14.54,clear sky,KZ,0.0,0
448,Mount Isa,-20.73,139.5,55.4,66,5,10.16,clear sky,AU,0.0,0
449,Berlevag,70.86,29.09,48.2,93,75,14.99,broken clouds,NO,0.0,0
450,Novyy Urengoy,66.08,76.63,60.28,54,72,19.8,broken clouds,RU,0.0,0
451,Nueve De Julio,-35.44,-60.88,62.01,36,28,1.99,scattered clouds,AR,0.0,0
452,Naron,43.52,-8.15,71.01,72,20,9.17,few clouds,ES,0.0,0
453,Tubuala,9.52,-79.03,84.2,70,40,4.7,scattered clouds,PA,0.0,0
454,Guarapuava,-25.4,-51.46,59.4,41,35,3.65,scattered clouds,BR,0.0,0
455,Ebersberg,48.08,11.97,82.99,34,60,8.05,broken clouds,DE,0.0,0
456,Huarmey,-10.07,-78.15,67.86,64,36,12.53,scattered clouds,PE,0.0,0
457,Aberdeen,57.14,-2.1,55.4,87,20,4.7,few clouds,GB,0.0,0
458,Wonthaggi,-38.6,145.59,46.99,91,100,6.98,overcast clouds,AU,0.0,0
459,Tabat,-2.63,115.23,73.36,96,100,1.63,overcast clouds,ID,0.0,0
460,Betare Oya,5.6,14.08,72.54,91,91,2.06,moderate rain,CM,1.19,0
461,Arrifes,37.77,-25.7,71.6,60,75,8.05,broken clouds,PT,0.0,0
462,Silleda,42.7,-8.25,86.0,53,20,14.99,few clouds,ES,0.0,0
463,Rio Grande,-32.03,-52.1,55.4,62,20,13.87,few clouds,BR,0.0,0
464,Vorukh,39.85,70.58,66.74,45,100,11.5,light rain,TJ,0.41,0
465,Taksimo,56.34,114.88,62.55,67,66,1.28,broken clouds,RU,0.0,0
466,Belmonte,-15.86,-38.88,78.8,69,40,9.17,scattered clouds,BR,0.0,0
467,San Jose De Rio Tinto,14.93,-85.7,86.5,50,99,3.27,overcast clouds,HN,0.0,0
468,Pahrump,36.21,-115.98,87.01,14,0,5.99,clear sky,US,0.0,0
469,Alofi,-19.06,-169.92,73.4,94,80,6.93,light rain,NU,0.5,0
470,Banyo,6.75,11.82,72.03,89,61,1.05,moderate rain,CM,1.91,0
471,Yulin,22.63,110.15,79.39,91,99,6.49,overcast clouds,CN,0.0,0
472,Volsk,52.03,47.38,74.19,64,49,1.48,light rain,RU,0.22,0
473,Salalah,17.02,54.09,84.2,83,75,8.05,broken clouds,OM,0.0,0
474,Andilamena,-17.02,48.58,54.79,91,35,10.63,scattered clouds,MG,0.0,0
475,Merauke,-8.47,140.33,78.01,87,87,15.97,moderate rain,ID,1.17,0
476,Tombouctou,20.0,-3.0,101.61,21,58,24.54,broken clouds,ML,0.0,0
477,Mareeba,-17.0,145.43,70.0,93,48,1.01,scattered clouds,AU,0.0,0
478,Itarema,-2.92,-39.92,85.55,61,4,14.58,clear sky,BR,0.0,0
479,Ouro Preto Do Oeste,-10.75,-62.22,88.52,44,0,5.1,clear sky,BR,0.0,0
480,Ceres,37.59,-120.96,75.2,38,1,8.05,clear sky,US,0.0,0
481,Ha Tinh,18.33,105.9,86.99,64,100,9.51,overcast clouds,VN,0.0,0
482,Pasighat,28.07,95.33,76.68,88,100,2.95,moderate rain,IN,2.41,0
483,Vallenar,-28.57,-70.76,80.33,12,0,5.35,clear sky,CL,0.0,0
484,Hirara,24.8,125.28,84.47,84,100,20.22,overcast clouds,JP,0.0,0
485,Karratha,-20.74,116.85,67.75,25,0,8.43,clear sky,AU,0.0,0
486,Aksaray,38.37,34.03,78.8,39,20,18.34,few clouds,TR,0.0,0
487,Svetlaya,46.54,138.33,57.38,93,99,7.36,overcast clouds,RU,0.0,0
488,Muravlenko,63.79,74.52,58.23,61,5,16.42,clear sky,RU,0.0,0
489,Teocaltiche,21.43,-102.58,66.2,63,75,13.87,broken clouds,MX,0.0,0
490,Banda Aceh,5.56,95.32,80.2,74,100,3.51,overcast clouds,ID,0.0,0
491,Toora-Khem,52.47,96.11,51.96,86,61,1.05,broken clouds,RU,0.0,0
492,Ludvika,60.15,15.19,63.0,51,78,6.93,broken clouds,SE,0.0,0
493,Muzhi,65.37,64.67,66.07,62,35,10.33,scattered clouds,RU,0.0,0
494,Bilma,18.69,12.92,103.91,12,65,6.96,broken clouds,NE,0.0,0
495,Dicabisagan,17.08,122.42,80.98,79,59,7.54,broken clouds,PH,0.0,0
496,Araouane,18.9,-3.53,98.8,24,59,16.64,light rain,ML,0.11,0
497,Hirado,33.36,129.55,77.0,95,100,5.99,light rain,JP,0.65,0
498,Yatou,37.15,122.38,68.95,85,100,3.18,overcast clouds,CN,0.0,0
499,Batagay-Alyta,67.8,130.41,49.28,85,66,0.92,broken clouds,RU,0.0,0
500,Rocha,-34.48,-54.33,52.32,64,9,16.53,clear sky,UY,0.0,0
501,Qaqortoq,60.72,-46.03,48.2,87,75,3.36,shower rain,GL,0.0,0
502,Jermuk,39.84,45.67,58.28,75,82,5.57,light rain,AM,0.53,0
503,Tezu,27.92,96.17,75.76,87,100,3.69,heavy intensity rain,IN,4.39,0
504,Mayo,38.89,-76.51,86.0,74,40,5.82,scattered clouds,US,0.0,0
505,Bonavista,48.65,-53.11,54.0,85,97,5.01,overcast clouds,CA,0.0,0
506,Changji,44.02,87.32,80.6,36,99,6.71,overcast clouds,CN,0.0,0
507,Sibolga,1.74,98.78,78.33,71,99,1.72,overcast clouds,ID,0.0,0
508,Sur,22.57,59.53,91.67,49,100,11.3,overcast clouds,OM,0.0,0
509,Tokur,53.13,132.9,48.76,95,33,1.34,scattered clouds,RU,0.0,0
510,Voyvozh,62.89,54.96,79.68,62,0,6.11,clear sky,RU,0.0,0
511,Kiama,-34.68,150.87,55.99,82,100,3.83,overcast clouds,AU,0.0,0
512,Kuusamo,65.97,29.18,62.6,59,100,6.93,thunderstorm,FI,0.0,0
513,Las Matas De Farfan,18.87,-71.52,88.3,47,16,11.39,few clouds,DO,0.0,0
514,Havelock,34.88,-76.9,84.0,88,90,14.99,light rain,US,0.25,0
515,Zhuhai,22.28,113.57,87.01,89,20,8.05,few clouds,CN,0.0,0
516,George Town,5.41,100.34,82.4,88,20,2.24,few clouds,MY,0.0,0
517,Kursumlija,43.15,21.27,82.4,42,0,9.17,clear sky,RS,0.0,0
518,Lata,40.16,-8.33,84.0,61,0,5.01,clear sky,PT,0.0,0
519,Poum,-20.23,164.02,69.24,70,15,10.89,few clouds,NC,0.0,0
520,Karasburg,-28.02,18.75,54.16,50,80,10.47,broken clouds,NA,0.0,0
521,Athabasca,54.72,-113.29,67.1,66,44,5.79,light rain,CA,0.41,0
522,Vao,-22.67,167.48,67.62,75,16,23.87,few clouds,NC,0.0,0
523,Shaunavon,49.65,-108.42,62.78,59,9,11.95,clear sky,CA,0.0,0
524,Dawei,14.08,98.2,79.09,86,100,1.05,overcast clouds,MM,0.0,0
525,Chopinzinho,-25.86,-52.52,58.33,60,0,4.43,clear sky,BR,0.0,0
526,Sapernoye,60.72,29.95,63.0,58,0,8.72,clear sky,RU,0.0,0
527,Borba,-4.39,-59.59,93.54,40,69,4.74,broken clouds,BR,0.0,0
528,Shimoda,34.67,138.95,70.0,93,100,1.01,overcast clouds,JP,0.0,0
529,Hovd,48.01,91.64,61.43,52,9,2.57,clear sky,MN,0.0,0
530,Forbes,-33.38,148.02,52.0,94,100,1.99,overcast clouds,AU,0.0,0
531,Rio Branco,-9.97,-67.81,80.6,78,75,13.87,broken clouds,BR,0.0,0
532,Rehoboth,-23.32,17.08,60.84,30,0,14.07,clear sky,NA,0.0,0
533,Storforshei,66.4,14.52,57.2,67,75,2.24,light intensity shower rain,NO,0.0,0
534,Dunedin,-45.87,170.5,46.0,84,63,1.99,broken clouds,NZ,0.0,0
535,Khani,41.96,42.96,75.2,73,75,6.93,broken clouds,GE,0.0,0
536,Aasiaat,68.71,-52.87,41.94,98,100,9.62,moderate rain,GL,1.58,0
537,Nelson Bay,-32.72,152.15,54.0,100,96,7.18,overcast clouds,AU,0.0,0
538,Orlik,52.52,99.83,50.4,69,86,1.81,overcast clouds,RU,0.0,0
539,Blagoyevo,63.37,47.92,83.71,48,19,10.69,few clouds,RU,0.0,0
540,Oranjemund,-28.55,16.43,57.79,68,43,15.73,scattered clouds,NA,0.0,0
541,Bitaogan,6.77,126.08,80.11,78,52,2.86,light rain,PH,0.36,0
542,Okato,-39.2,173.88,37.99,64,0,8.99,clear sky,NZ,0.0,0
543,Xining,36.62,101.77,57.61,61,100,2.62,overcast clouds,CN,0.0,0
544,Kosh-Agach,50.0,88.67,52.57,61,96,2.89,overcast clouds,RU,0.0,0
545,Almaznyy,48.04,40.05,77.0,47,26,11.18,scattered clouds,RU,0.0,0
546,Banjar,-8.19,114.97,78.8,100,40,10.29,scattered clouds,ID,0.0,0
547,Catuday,16.29,119.81,82.56,77,73,5.46,broken clouds,PH,0.0,0
548,Sisimiut,66.94,-53.67,44.49,93,100,8.79,moderate rain,GL,1.27,0
549,Abay,49.63,72.85,64.4,72,42,4.47,scattered clouds,KZ,0.0,0
550,Mujiayingzi,42.12,118.78,63.77,70,93,2.59,overcast clouds,CN,0.0,0
551,Saharsa,25.88,86.6,82.98,83,100,5.1,light rain,IN,0.13,0
552,Rockport,28.02,-97.05,89.6,66,75,11.41,broken clouds,US,0.0,0
553,Sao Jose Da Coroa Grande,-8.9,-35.15,79.54,78,46,7.72,light rain,BR,0.15,0
554,Atambua,-9.11,124.89,68.67,90,91,6.15,overcast clouds,ID,0.0,0
555,Grants,35.15,-107.85,82.4,14,1,12.75,clear sky,US,0.0,0
556,Kuching,1.55,110.33,75.2,94,40,6.93,scattered clouds,MY,0.0,0
557,Cairns,-16.92,145.77,70.0,94,75,11.41,light intensity shower rain,AU,4.06,0
558,Talnakh,69.49,88.4,62.6,72,3,24.61,clear sky,RU,0.0,0
559,Porto Novo,6.5,2.6,78.8,88,40,11.41,scattered clouds,BJ,0.0,0
560,Miles City,46.41,-105.84,68.0,49,1,3.36,clear sky,US,0.0,0
561,Dubai,25.26,55.3,98.01,67,55,10.29,broken clouds,AE,0.0,0
